X,Y1,x2,Y2,X3,Y3,Y1_ruido,Y2_ruido,Y3_ruido
-0.56,-1.864,-3.12,-10.1456,-0.34,0.30572,-0.344,-10.5556,2.30572
-0.54,-2.084,-3.08,-9.9336,-0.31,0.271655,-0.454,-11.4636,-1.248345
-0.52,-2.296,-3.04,-9.7184,-0.28,0.25856,-1.396,-8.3384,-0.90144
-0.5,-2.5,-3,-9.5,-0.25,0.265625,-4.34,-11.49,-0.594375
-0.48,-2.696,-2.96,-9.2784,-0.22,0.29204,-1.946,-7.3984,-1.26796
-0.46,-2.884,-2.92,-9.0536,-0.19,0.336995,-1.144,-7.6536,0.856995
-0.44,-3.064,-2.88,-8.8256,-0.16,0.39968,-3.984,-8.6656,-0.83032
-0.42,-3.236,-2.84,-8.5944,-0.13,0.479285,-4.776,-7.8744,2.199285
-0.4,-3.4,-2.8,-8.36,-0.1,0.575,-4.44,-6.87,0.975
-0.38,-3.556,-2.76,-8.1224,-0.07,0.686015,-4.506,-8.0524,0.826015
-0.36,-3.704,-2.72,-7.8816,-0.04,0.81152,-4.024,-9.1316,0.87152
-0.34,-3.844,-2.68,-7.6376,-0.01,0.950705,-2.574,-7.7876,0.600705
-0.32,-3.976,-2.64,-7.3904,0.02,1.10276,-4.006,-6.1804,-0.39724
-0.3,-4.1,-2.6,-7.14,0.05,1.266875,-4.68,-7.72,0.406875
-0.28,-4.216,-2.56,-6.8864,0.08,1.44224,-3.096,-6.1364,0.79224
-0.26,-4.324,-2.52,-6.6296,0.11,1.628045,-5.074,-6.4596,1.018045
-0.24,-4.424,-2.48,-6.3696,0.14,1.82348,-2.724,-7.1996,3.68348
-0.22,-4.516,-2.44,-6.1064,0.17,2.027735,-4.696,-4.3364,2.167735
-0.2,-4.6,-2.4,-5.84,0.2,2.24,-5.28,-5,0.24
-0.18,-4.676,-2.36,-5.5704,0.23,2.459465,-6.666,-3.8004,2.079465
-0.16,-4.744,-2.32,-5.2976,0.26,2.68532,-5.714,-6.8476,1.81532
-0.14,-4.804,-2.28,-5.0216,0.29,2.916755,-6.134,-4.2216,3.286755
-0.12,-4.856,-2.24,-4.7424,0.32,3.15296,-5.896,-5.8024,3.13296
-0.1,-4.9,-2.2,-4.46,0.35,3.393125,-3.53,-5.01,4.573125
-0.08,-4.936,-2.16,-4.1744,0.38,3.63644,-4.576,-4.8044,2.10644
-0.06,-4.964,-2.12,-3.8856,0.41,3.882095,-3.394,-3.7156,3.092095
-0.04,-4.984,-2.08,-3.5936,0.44,4.12928,-4.534,-3.0336,4.80928
-0.02,-4.996,-2.04,-3.2984,0.47,4.377185,-5.206,-4.2384,6.277185
6.17562E-16,-5,-2,-3,0.5,4.625,-5.92,-1.94,3.455
0.02,-4.996,-1.96,-2.6984,0.53,4.871915,-4.866,-1.5084,5.601915
0.04,-4.984,-1.92,-2.3936,0.56,5.11712,-5.234,-3.8536,6.79712
0.06,-4.964,-1.88,-2.0856,0.59,5.359805,-5.274,-0.3356,4.469805
0.08,-4.936,-1.84,-1.7744,0.62,5.59916,-4.566,-3.2544,4.35916
0.1,-4.9,-1.8,-1.46,0.65,5.834375,-3.78,0.36,4.594375
0.12,-4.856,-1.76,-1.1424,0.68,6.06464,-4.916,-2.2224,5.15464
0.14,-4.804,-1.72,-0.8216,0.71,6.289145,-4.404,0.3984,7.059145
0.16,-4.744,-1.68,-0.4976,0.74,6.50708,-3.224,-1.6076,5.72708
0.18,-4.676,-1.64,-0.1704,0.77,6.717635,-3.346,1.4696,5.067635
0.2,-4.6,-1.6,0.16,0.8,6.92,-6.49,2.13,6.94
0.22,-4.516,-1.56,0.4936,0.83,7.113365,-3.996,1.8136,8.473365
0.24,-4.424,-1.52,0.8304,0.86,7.29692,-5.934,2.7004,8.03692
0.26,-4.324,-1.48,1.1704,0.89,7.469855,-4.844,1.5304,5.609855
0.28,-4.216,-1.44,1.5136,0.92,7.63136,-5.636,-0.4264,7.87136
0.3,-4.1,-1.4,1.86,0.95,7.780625,-2.88,2.14,6.690625
0.32,-3.976,-1.36,2.2096,0.98,7.91684,-3.696,3.3496,9.08684
0.34,-3.844,-1.32,2.5624,1.01,8.039195,-5.404,2.5924,9.769195
0.36,-3.704,-1.28,2.9184,1.04,8.14688,-4.184,2.1484,8.91688
0.38,-3.556,-1.24,3.2776,1.07,8.239085,-2.656,4.3476,9.619085
0.4,-3.4,-1.2,3.64,1.1,8.315,-3.12,5.38,8.745
0.42,-3.236,-1.16,4.0056,1.13,8.373815,-2.726,2.5756,7.213815
0.44,-3.064,-1.12,4.3744,1.16,8.41472,-5.044,2.8344,8.11472
0.46,-2.884,-1.08,4.7464,1.19,8.436905,-3.494,6.0364,7.616905
0.48,-2.696,-1.04,5.1216,1.22,8.43956,-2.106,5.9616,9.57956
0.5,-2.5,-1,5.5,1.25,8.421875,-3.37,6.08,6.591875
0.52,-2.296,-0.96,5.8816,1.28,8.38304,-1.676,5.3216,9.47304
0.54,-2.084,-0.92,6.2664,1.31,8.322245,-2.324,4.4264,9.342245
0.56,-1.864,-0.88,6.6544,1.34,8.23868,-3.124,7.5144,7.64868
0.58,-1.636,-0.84,7.0456,1.37,8.131535,-0.586,5.6256,8.811535
0.6,-1.4,-0.8,7.44,1.4,8,-0.51,7.77,9.86
0.62,-1.156,-0.76,7.8376,1.43,7.843265,-1.296,9.5876,9.473265
0.64,-0.904,-0.72,8.2384,1.46,7.66052,-1.174,9.0184,6.41052
0.66,-0.644,-0.68,8.6424,1.49,7.450955,1.026,10.1924,8.600955
0.68,-0.376,-0.64,9.0496,1.52,7.21376,0.584,8.4596,5.82376
0.7,-0.1,-0.6,9.46,1.55,6.948125,-1.41,8.08,6.268125
0.72,0.184,-0.56,9.8736,1.58,6.65324,1.234,7.8836,5.89324
0.74,0.476,-0.52,10.2904,1.61,6.328295,-0.194,8.7704,7.788295
0.76,0.776,-0.48,10.7104,1.64,5.97248,1.726,12.0904,6.48248
0.78,1.084,-0.44,11.1336,1.67,5.584985,1.044,11.3036,6.774985
0.8,1.4,-0.4,11.56,1.7,5.165,2.1,12.98,6.045
0.82,1.724,-0.36,11.9896,1.73,4.711715,1.064,10.1796,2.991715
0.84,2.056,-0.32,12.4224,1.76,4.22432,3.386,13.1924,4.69432
0.86,2.396,-0.28,12.8584,1.79,3.702005,4.046,11.9784,5.082005
0.88,2.744,-0.24,13.2976,1.82,3.14396,0.774,15.0676,3.87396
0.9,3.1,-0.2,13.74,1.85,2.549375,4.12,15.07,1.049375
0.92,3.464,-0.16,14.1856,1.88,1.91744,4.024,15.9156,2.57744
0.94,3.836,-0.12,14.6344,1.91,1.247345,2.056,16.5444,0.657345
0.96,4.216,-0.08,15.0864,1.94,0.53828,6.136,17.0664,-1.15172
0.98,4.604,-0.04,15.5416,1.97,-0.210565,4.534,16.9416,-0.020565
